content,Label
Gambar macet2 kalo pon g jelas suara sering ngilang tolong prbaiki biar pengguna bisa nyaman dengan apk inih🙏🙏,negatif
😘😘,positif
Mohon maaf tidak komen,netral
Ok,positif
Makin buruk aplikasi ini!,negatif
bagus bangett!!,positif
"wa makin lelet buat vc, dan telpon",negatif
imar,positif
"please add live features, add filters and effects for photos, also for posting photo videos like blurry, please fix it so that it is clearer HD, thank you very much🖤",positif
Mohon maf ya masa habis di perbarui suruh masukin no hp lg dan g langsung di kasih kodenya lg gmn sih mind,positif
Konstruksi bangunan dan jalan raya,positif
Saya beri bintang 5,positif
Kecewa dgn cra kerjanya..miskin stiker..mles apdetnya..,negatif
"Ga paham lagi sama whatsapp sekarang, gampang bgt di hack orang, itu pun whatsapp ga keamanannya ga di perbaiki, beda bgt kaya telegram",netral
Mantap,positif
Minimal tambahin filter,positif
Oke,positif
Lambat,negatif
tolol,negatif
ok,positif
ok,positif
@gmasil.comslamet efan,negatif
Like it,positif
Tolong Update berapa kali story saya di lihat.,positif
Sangat penting wa utk komunikasi,positif
Bagus,positif
Aplikasi berkirim pesan yang sangat bagus,positif
Semakin payah pelayananya,positif
Pliss bisakan wa ini aku butu bgt,positif
Kadang eror... Tidak ada notifikasi,netral
Tak kasih empat bintang dulu bos q,positif
bagus,positif
Kok.ak ga bisa vn si??,netral
"Jadi makin buruk, sering putus saat telfon, banyak errornya. Hp mahal juga sama aja",negatif
oke,positif
Saya berharap gak ada ganggu dengan whatsApp saya lgi.kyk gini whatsApp saya eror teruss jadi bingung saya?,positif
Aplikasi ini sangat baguss👍👍👍👍🙏,positif
Parah ga jelas aflikasi ini dulu baik baik aja makin kesini makin ga jelas,negatif
Bagus bgt buat chetan sama ayg,positif
Bagussssss bgttttt,positif
Ss,positif
Tolong dengan sangattt...kembalikan versi whatsapp swap...karena terlalu ribet kalo harus di klak klik dulu..kelamaan woyyyelahhh,negatif
Sangat membantu Berikan yg terbaik Nanti aku kasi 5bintang,positif
Tolong wa nya kayak dulu lagi mamang Vidio nya pas di masukin status jangan burem Ini mah burem kayak burik gitu,positif
Good job,positif
Bagus,positif
kapan nihh whatsapp buatt fitur filter buat foto sama vc wakakak,positif
Ok juga,positif
Apk no 1 sih,positif
min knp ko gak bisa masuk atau login ke wa no saya,positif
Good,positif
Sangat bagus,positif
Sangat menyukainya,positif
Tolong buka aku Saya mengapa di blokir,positif
mic saya berfungsi normal.,positif
Bagus,positif
Aplikasi nya berguna,positif
bgs sih knp aku sdh update ga berubah²?,positif
Bagus,positif
Mantap,positif
Makasih...,positif
"tambahin fitur arsip story, menambakan lagu di story, tag orang lain dan repost story dari orang lain",netral
"Tolong dong chat nya di buat permanen aja gx usah ada hilang dalam 24 jam dan lain lain ,,kita jadi gx ounya bukti chat kalo mreka pake progamnya",negatif
Jelek huuuhh👎👎👎👎,negatif
Kenapa jadi error' GK karuan,negatif
🫶🏻🫶🏻,positif
Sangat,positif
Suwai.....,positif
Gak tau,negatif
Sangat baik aplikasinya,positif
MAU FITUR VC NO MIRROR,positif
Verygood this aplikation,positif
Ok,positif
Kenapa setiap saya download gak dapat kode verifikasi padahal jaringan lancar nomor juga baru,positif
Good watsap,positif
Ko udah di update malah burik video biasanya upload bagus normal skrang malah kau wa..,negatif
Mantap,positif
Memuas kan,negatif
Ntah,positif
Lagondu asal Kolese kec.paso kolaga.seorang duda lama jika ada yang berminat ku mau mba.,positif
Ol,positif
Ga bisa berkata² pokoknya udah bagus,positif
Sangat b,positif
Siiiiip,positif
FF,positif
Bgus,positif
Aplikasi ini memang luar biasa,positif
Ok,positif
Wa saya tidak mau di buka,positif
Foto dan Video distatus tidak HD,negatif
Watshap ok,positif
Bgus,positif
Aku sendiri GK bisawatsap,positif
Gak suka wa yg terbaru ini ....mana pembaruan gak bisa dikembalikan....otomatis pembaruan sndri aplikasinya....,positif
Baguss,positif
Tidak bisa menerima kode verifikasi,negatif
A bagus,positif
Aplikasi yang sangat membantu sistem komunikasi yang sangat efisien..,positif
Enakan kaya dulu WhatsApp nya sekarang jadi ribet males,negatif
Membuka WhatsApp Mesenggr,positif
Good for you whatsaap,positif
Aplikasix oke,netral
Tidak bisa masuk,negatif
Wah up lagi makin seru ni!!!,positif
Mantap,positif
Bisnis,positif
min tolng ilangin gabisa screenshot saat liat foto 1× liat🙏,positif
Bga,positif
Telat update whatshap aja kena blokir plis lah whattshap buka no ku,negatif
Good,positif
Puaaaaaaaaaaas,positif
Manstap,positif
Knp sih update trz skrg,negatif
Amako,positif
Lumayan,positif
Tolong pulihkan akun saya kembali,negatif
"kenapa setiap post story selalu video/foto kekompres atau buram??, saya sangat kecewa!!",negatif
"Sangat"" tidak puas saat vc error",negatif
di apdet malah makin rusak ni wa,negatif
wa hilangnya,positif
"ni gimana si maksudnya, cape bangt tau ga si orang lagi ngerjain data yg penting malah ada notif pemulihan pemulihan pas uda dipulihkan ilang semua apasi tambah ga jelas",negatif
Good,positif
Saqiy poi,negatif
Saya suka dengan aplikasi ini,positif
"kapan ngeluarin emoji iPhone bund,emoji wa kek alay🙂🔫",positif
Anjay,positif
Pengalaman saya kerja,positif
cukup bagus,netral
Bagus aplikasinya,positif
Sangat membantu dalam aktifitas,positif
Sangat bermanfaat bagi saya bisa.belajar nelalui daring utk anak saya,positif
"kenapa setiap video call gambarnya ngelag, padahal sinyal bagus",negatif
Lalo meta,positif
Wa tidak ada fitur tautkan perangkat lagi,netral
Ok.,positif
Jos,positif
Bagussss,positif
ok Ok,negatif
Bagus sesuai dengan keinginan,positif
k.m .kk.ymO,positif
sukaaaaa mngkin banyak fitur nyaa kaloo bisa tambahin lgi fitur canggihnya jangan sampaii di ilngin lgii😍💖,positif
Bagus,positif
Baik,positif
"Kembalikan Tampilan Whatsapp Yang Lama!, tampilan yang baru tidak menarik",negatif
Kupercayakan pada mu,positif
PERBAIKI BUG WA.ME/SETTINGS WOI 😡😡😡,positif
Sekarang whasaap byk bedanya,negatif
Skrang malah di blokir akun nie yg buat watsap mesenger niat ga sih jgn mau jual aplikasi doang lah,negatif
"Saya tidak bisa pasang whatsap saya,, mff saya kasih bintang 1 kalo udh beres baru sya ksih bintang 5 lgi",negatif
Hilang,positif
Sangat menyenangkan applikasi ini,positif
Ok,positif
Sangat membatu,positif
Lebih bagus lagi ya,positif
Kenapa wa memblokir nomor sy...,negatif
Snagat bagus,positif
Sangat bagus,positif
Aplikasinya tambah nyusahin masa nomer keluar terus dari aplikasi pas mau masuk gk bisa,negatif
Kenapa Kena blokir pihak whatsApp,negatif
Sinyal nya padahal full kuota nya full tapi knp setiap aku kirim video macet!!!! Dh lh jangan ke banyakan update gini nih jadi nya pasti banyak kesalahan:((((,negatif
Saya kurang puas memakai WhatsApp karna selalu kena tinjau,negatif
Membuat mudah dlm berkomunikasi jarak jauh,positif
Kenapa saya tidak bisa menggunakan WhatsApp ini,positif
ini knp ya WA sy slalu ke riset pesan'nya pdhl sy ga mencet atau ngapa'in tiba' ke riset sendiri,negatif
bikin versi terbaru yg bisa bener' kaya WhatsApp di iPhone dong min😁😁,positif
Ziiip,positif
saya menggunakan nya .... bagus kok👍👍👍👍,positif
Nyenye,positif
Fitur setelah update kurang bagus,negatif
Bisa girim pap kek cwem,positif
"Tolong saat membuat status wa, Videonya di jernihkan, bukan smakin buram!!! Tdak sperti video yg asli",positif
Bgs,positif
Akhir akhir ini whatsapp gw kok mau liat status itu gk bisa ya muncul tulisan terjadi kesalahan saat memutar video itu bug dari whatsapp nya kah? Padahal jaringan ku juga lancar,netral
Jadi begitulah kira²,netral
Tolong dong fitur foto yg sekali di liahat bisa di ss seperti dulu lagi soalnya saya gak bisa ss pap pacar saya hehe.tolong di perbaiki lagi Terimakasih,negatif
Iam like itu,positif
Suka pengalaman whatsaap,positif
Gpp,netral
Kenapa tidak bisa menghapus pesan,negatif
Bagus,positif
buat fitur fliter!!!!,positif
Mohon di perbaiki kenapa setiap telvon di wa kok suaranya pecah mohon di perbaiki trimakasih,positif
adain fitur efek buat vidcall dong wkwk lg insecure ni😵😭,positif
Update trus jadi yg lebih bagus yaa🤩,positif
Wa saya kena spam,netral
Baguss kok,negatif
Bagus,positif
Bagus,positif
"Tolong tambahkan fitur vote atau memilih jawaban di status kita, misalnya saya bikin status dan membuat pertanyaan dan jawabannya sudah saya tentukan, nanti yang melihat status saya bisa vote atau memilih jawaban dari yang saya tentukan.",positif
Lemut,positif
"Hi developer anda sangat bijak ya dalam membuat aplikasi , aplikasi ini sangat bagus loh saya bisa chatan tiap hari sama ayang saya buat developer nya panjang umur ya jangan lupa share Lok ya , kalau disini ada yg jual rudal secara legal saya mau beli soalnya saya mau rudal apartement developer aplikasi ini",positif
Baguze,positif
Oke,negatif
Ok,positif
Bagus banget,netral
Bagus bgt tp bisa ga tambahin fitur yg menarik lgiii,positif
Bgs update sekarang tapi kenapa ya setiap update WhatsApp pasti status temen kalau gak kita itu hilang,positif
Umpan balik dari berbagai sumber,positif
"Makin kesini update makin aneh ribet gak bisa di geser""",negatif
Bgs sklii,positif
Good joob,positif
Sngtt bguss,positif
Meylia Anggraeni🌴🌈🇵🇱🇬🇱,positif
Suka,positif
Sangat berguna👍👍👍👍,positif
ok,positif
Kenapa ya wa saya tidak pisa memasang nomer telpon iya saya sangat butuh whatsapp ini tolong di perbaeki aplikasi whatsapp nya dong saya buh wa ini,positif
Bgs,positif
Wa ku tidak seperti yang lain yg kaya iPhone,positif
Sesat,positif
Bagus banget sih sama apelasi ini ada pembarui kayak hp ipon,positif
Kalau go ada watsApp gun hidup kita,positif
Sulit,positif
My i,positif
"makin kwren banget om, tapi kalau bisa resolusi pas bikin story, fotonya jangan jadi pecah / 144p gitu dong heheheheh. hrs 180p, mks y, semoga makin lebih keren lagi anjaz 💋💋",positif
Sangat mudah digunakan,netral
Masa WhatsApp saya jadi dii bawah abis di update,positif
ko aku ngechat dia malah ngeread ya?,positif
"Tidak bisa menukar nama kontak, udah di coba berkali² tetap tidak bisa",netral
Whatsapp nya kurang ky ga jelas gitu maaf saya kasi bintang 1 doang karna emang g jelas,negatif
"Please the microphone is still bad,",negatif
Kenapa sih susah banget download WhatsApp messenger,negatif
"Baru ajjah di update, eh malah WA nya gak bisa di buka, saya pakai HP Redmi 10C",negatif
sangat bgus,positif
"Saya tidak bisa login wathsap, akun saya diblokir",positif
sangat bagus,positif
Gak jelas kode sms gak dapat pangilan tidak bisa,negatif
aplibkasi nya mantap kali.makasi gugel,positif
WA ini seru,positif
REZA:SABRIAN:ALMADANI,positif
Terima Kasih untk Aplikasi nya bgus,positif
Masya Allah Sangat berguna wa ini,positif
Bagus,positif
Terlalu sering ada bug. Dimana ketika video call terjeda. Maka otomatis mati video call nya,negatif
Sebenarnya lumayan bagus tapi yang bikin saya agak jengkel kenapa sih kok harus pakai pembaharuan terus memerus.,positif
Mantap,positif
Kurang mendukung,positif
"Mungkin rating ini sesuai dengan kemajuan whatsApp,karena ketika saya masuk.. di apk whatsApp dan membuat status atau pun chat seseorang, tanpa saya tekan keluar.. malah keluar sendiri",netral
Bagus,positif
WhatsApp sekarang semakin rusakkk update update gada perubahan malah tambah edan,negatif
Stop making stupid UI UX,negatif
Oke lah,positif
Bagus,positif
Bahu,positif
Mantap,positif
Bagus,positif
Oke,positif
sulit perbarui wa,negatif
suka jalan jalan,negatif
Knp what up saya d blokir trus,positif
WatsApp ini sangat bermanfaat untuk berkomunikasi dan bisnis,positif
Oke,positif
Bagus,positif
Ok,positif
Ok,positif
Kok sw nya gk bisa dibuka sihhh Tolong diperbaiki lagi donk!!,negatif
Sangat bagus,positif
Ya begitu,positif
Bagus,positif
Masih suka eror,positif
Kenapa agak lambat pengiriman chat wa nya,positif
Aplikasi bisa apa saja bisa ngobrol di chat sama temen aku kasi bintang lima ⭐⭐⭐⭐⭐,positif
Setelah saya update kenapa riwayat panggilan hilang semua:(,negatif
Sangat baik,positif
Mksi wshap,positif
Sempurna,positif
Bagus bro mantap.,positif
👍,positif
Bagus,positif
welll,positif
Oke,negatif
Mantap,positif
Martin isinkan menoton bokep,positif
Maaf saya kasih rating 1 karna pas saya masukin no nya gak bisa padahal itu no nya udah bnr itu no nya malah gak bisa bisa udah coba beberapa kali tetep gak bisa,negatif
Mantap,positif
Bagus,positif
Dengan menggunakan aplikasi WhatsApp komunikasi menjadi Lacar,positif
"ini gimana sih fiturnya jadi kek gini,gak nyaman. balikin yang kek dulu lah",negatif
Update banyak taiknya,negatif
Bagus,positif
Baik. Sangat. Membantumu. Kami,netral
Cukup,positif
Bagus,positif
Baguss^-^,positif
"Sangat busuk, aplikasi sampah",negatif
wow,positif
Aplikasi yang sangat bermanfaat untuk komunikasi saat ini,positif
Ebeww,negatif
Bagus,positif
Bagus 👍👍👍,positif
Mantap mennn,positif
Good,positif
Req emot bendera Ohio!! 😠😠 Nanti dikasih bintang 1000000000 kalau ada bendera Ohio😍🥰😘😘🤩🤩🤩🤩,netral
di up malah tmbah ga jls,netral
Love it,positif
"Apk nya bgs,tapi kenapa banyak yg bilang jelek trus tapi boong yak?",positif
Bagus nomor satu di play store sempurna,positif
Mencari benda kuno,negatif
Hemat n hebat buanget bro wa ini smg manfaat untuk saya dan kaka2 to,positif
Rk iso di bukakk,negatif
wea ajing,negatif
Sangat berguna dan sy bisa mengirim pesan melalui wafshapp ini,positif
Telek tonggo iya teee,positif
Pengalaman jalan jalan Di tuapejat,positif
Jelekk😢,negatif
Aming,positif
Oke banget,positif
Kenapa nada dering tidak bisa diganti lagu mp3,negatif
"Setelah update UI nya malah tidak menarik dak ribet. Lebih bagus dan enak UI yang lama. Ini mirip-mirip WA di IOS, tapi kurang enak.",negatif
"Mohon di perbaiki aflikasi WhatsApp ini terjadi bug saat saya memposting video di status, video yg saya posting pas ya posting biasa saja pas saya liat ko jdi ngebug video d tonton mlh berhenti d pertangahan dan gk bisa maju2 video nya, mohon d perbaiki karena menurut saya WhatsApp sekarang udh d update malah mkin buruk🙏",negatif
Good,positif
Lebih canggih,positif
Wow,positif
Saya kasih rating tinggi soalnya bagus buat bales cht pacar orang 👍,positif
Good,positif
Saya suka yang baik saya supaya hasilnya pun juga yang baik dan saya saya suka lebih apel leb maaf menyukai mungkin saya ingin saya merasa senang saya ingin apa nama bagus lagu senam lagu senam aerobik pesannya cara mengirimnya bagaimana in ya Allah wisata Allah mendengarkan mendengarkan ucapan saya messenger saya senang saya senang mendengar melihat teman-teman dan menarik cara buka bu dengan teman saya ingin hanya ingin bertanya tanya sama teman ini harus p harus gimana harus kita ha ok maaf,negatif
Update mulu,negatif
Leleg,positif
oke,positif
Bagus,positif
Oke,positif
"Apk nya sangat bagussss, tolong tambahin filter cute, dll . 😊",positif
Sagat bgus,positif
Akun gw di blokir tiba² ***,netral
Bagus,positif
Terimakasih min...sangat membantu. Aplikasi WA memang bagus dan masih yg terbaik 👍,positif
ko sepi,positif
Apk bagus banget,positif
Ok,positif
Bagusss sekali,positif
Mantap,positif
"Diupdate bukannya tambah bagus malahan tambah rusak video call klu dikecilkan gambar ngebag ga bisa ditekan tekan, kenapa ya ada yg sama ga guys..",negatif
Sangat bagus y,positif
Sangat cocok untuk sehari hari,positif
Terimakasih telah membantu saya.,positif
Mantap,positif
"sekarang setiap bikin status resolusi gambar nya jadi pecah, ditambah lagi jadi nge zoom sendiri gitu..",positif
Apl yg sangat baguss,positif
"Sangat membantu saya,",positif
sangat menunjang bisnis saya,positif
Mletreee,netral
"Bagaimana cara memperbaharui aplikasi WhatsApp yg tidak bs di buka, krn meminta PIN verifikasi dua langkah,...... Sedang PIN tersebut sudah lupa, ...... Mhn bantuannya yaaaa......",positif
Wa nge bung,negatif
Bagussssssss,positif
Saya sangat suka,positif
Sip senang tidak rewel,positif
Kerem,positif
Tingkatkan,positif
Lumayan,positif
"Berguna bngt, oh iya min tolong yah kualitas pengunggahan status di bagusin lagi yah soalnya kadang suka gak sesuai sama kualitas nya pas mau post story",positif
Wa,positif
ok,positif
Sangat membantu,positif
Sangat penting aplikasi ini,positif
Pengen kayak wa orang² yang sdh kyk ipon,positif
Tolong tambahin fitur kayak ig dong 😁😁🙏🏻🙏🏻,positif
Kalo aku bisa balikan sama mantan ku lagi aku kasih bintang 5,netral
mantap men,positif
Sippp,positif
Gg,positif
Suka sekali,positif
Ma tap,positif
Ya saya menggunakan nyaman,positif
WhatsApp adalah aplikasi yang seru untuk saling kirim pesan online,positif
Jelek banget rating buat sekarang masa video yang ukuran nya cuman 3mb di kompres lagi jadi 1 MB gimana sih biasanya juga minimal 8 mb,negatif
Good,positif
abis upgrade kalo ngirim video suaranya ilang woy. akses mic udah on padahal,positif
Bagus banget,positif
ok,positif
Sp,netral
Mau di edit sih tapi belum tau tampilanny nanti gimana?,netral
Bagus bgt buat waan,positif
Good,positif
WhatsApp sangat bagus,positif
Wa nge bung,negatif
Bagus,negatif
Angel mlbu gaiso dadak,negatif
tolol,negatif
Tolong dong fitur foto yg sekali di liahat bisa di ss seperti dulu lagi soalnya saya gak bisa ss pap pacar saya hehe.tolong di perbaiki lagi Terimakasih,negatif
Lambat,negatif
Tidak bisa masuk,negatif
bahasaindonesia,negatif
Ebeww,negatif
Kurang baik kadang lemot,negatif
Update mulu,negatif
Saya kurang puas memakai WhatsApp karna selalu kena tinjau,negatif
Kenapa whatsapp saya sering kena spam ya??saya masukan no yg di whatsapp kok gk bs knpa ya nie??,negatif
Kenapa whatsapp koq sering kadaluwarsa,negatif
Aku bukan pengemis cuenta,negatif
Stop making stupid UI UX,negatif
Sinyal nya padahal full kuota nya full tapi knp setiap aku kirim video macet!!!! Dh lh jangan ke banyakan update gini nih jadi nya pasti banyak kesalahan:((((,negatif
Lbih ribet,negatif
"Mohon maaf, tolong perbaiki sistem nya. Untuk memperkecil gambar pada videocall masih terlalu besar dari biasanya dan juga masih eror/no respons. Dan untuk upload story masih juga pecah pada gambar. Terimakasih",negatif
Masih ada 3 hal penting yg saya kira perlu diperhatikan juga a.l: 1) tambahkan donk pilihan untuk menyimpan media ke SD card. 2) Kualitas Video dan Foto (Media) yg di kirim kalo bisa mengakomodir kwalitas HD. 3) tambahkan fitur untuk admin grup bisa mengontrol member grupnya salah satunya member dlm grup tidak keluar masuk grup tanpa diijinkan dl oleh admin grup. bintang 5 kalo sudah di akomodir,negatif
"paan banged ni wa, butut emote nya pd jelek"" huuu butut butut",negatif
Woy ngtd hapus emot ini😭 jadi bingung aing anj ganti aja emot itu sama emot pragos,negatif
Ngak bisa dipasang min,negatif
Ahhhaii,negatif
Makin update makin ga bagus masa vidcall kameranya crash padahal di Samsung s23U,negatif
Ngak bisa dipasang min,negatif
Masih ada 3 hal penting yg saya kira perlu diperhatikan juga a.l: 1) tambahkan donk pilihan untuk menyimpan media ke SD card. 2) Kualitas Video dan Foto (Media) yg di kirim kalo bisa mengakomodir kwalitas HD. 3) tambahkan fitur untuk admin grup bisa mengontrol member grupnya salah satunya member dlm grup tidak keluar masuk grup tanpa diijinkan dl oleh admin grup. bintang 5 kalo sudah di akomodir,negatif
Kenapa jadi error' GK karuan,negatif
Tidak bisa menerima kode verifikasi,negatif
WhatsApp sekarang semakin rusakkk update update gada perubahan malah tambah edan,negatif
"Parah.. berkali-kali akun wa saya keluar sendiri dengan alasan tidak bisa dipergunakan, lalu udah berkali-kali ditinjau tapi ketika sudah benar lagi, EH BESOKNYA BEGINI LAGI, kenapa saya jadi makin ga nyaman sama aplikasi ini ya katanya keamanan nya berlapis kok ngeluarin akun orang sembarangan...",negatif
Tidak bisa menerima kode verifikasi,negatif
Kenapa wa memblokir nomor sy...,negatif
"lebih suka model yang lama,dripada yang sekarang lebih ribett",negatif
"kenapa setiap video call gambarnya ngelag, padahal sinyal bagus",negatif
Sangat bagus,negatif
Syukk ra ono sing chat🙈,negatif
"Saat video call selalu aja tiba-tiba crash crash dan crash, why brother? Tolonglah minta benerin virus atau apapun itu yang bisa menyebabkan crash Biar bisa seperti dulu Pada dulu tuh bagus banget gak ada crash crash nya",negatif
Tidak perlu kata kata,negatif
"kenapa setiap video call gambarnya ngelag, padahal sinyal bagus",negatif
",. % . z, .,. ,%'. , . Xa. . . ,"".? s, ., . . . *@,. s2 ,, ,,3 , ,, ,gs3. ,,we. . . , var , ., q , ,.,.,;' '. ;,@3%×3 , gej &÷ , .? . ,: 2 , ., . s3 ,d, , ,. s, . . m,cl. ,+ .z , ,x lj , vez, ., ., , w . *. ;,@82 , , , .z3, 3, ,s G2zge ,,af , . , ,.. ..",negatif
Kenapa whatsapp koq sering kadaluwarsa,negatif
Terima kasih Google,negatif
Skrang malah di blokir akun nie yg buat watsap mesenger niat ga sih jgn mau jual aplikasi doang lah,negatif
cara buka wacsap kna spam atau kna apa mohon pulihkan,negatif
Woy ngtd hapus emot ini😭 jadi bingung aing anj ganti aja emot itu sama emot pragos,negatif
Buat wa versi tanpa internet,negatif
Bagus,negatif
Bagus,negatif
tolol,negatif
Jd lemottt,negatif
Gak jelas kode sms gak dapat pangilan tidak bisa,negatif
"Dari sekian banyak komen yg ku baca,jd gw punya kesimpulan untuk tidak mengupdate",negatif
Aplikasi initiative jelek,negatif
Bagus,negatif
WhatsApp sekarang semakin rusakkk update update gada perubahan malah tambah edan,negatif
Whatsapp nya suka erorr,negatif
jelek,negatif
Kurang baik kadang lemot,negatif
"Sangat"" tidak puas saat vc error",negatif
Buat wa versi tanpa internet,negatif
"Sangat"" tidak puas saat vc error",negatif
Setelah saya update kenapa riwayat panggilan hilang semua:(,negatif
Kurang baik kadang lemot,negatif
Jangan paksa kami untuk mengunduh,negatif
"kenapa makin di update makin bnyak pemakaian ruang sih,ini parah banget sih...",negatif
Makin update makin ga bagus masa vidcall kameranya crash padahal di Samsung s23U,negatif
Eror gak bisa di update,negatif
Setelah d upgrade malah GK bisa kirim foto dan video .. Tolong d perbaiki LG dong ...,negatif
Wa semakin ribet dan kalo pindah ke status atau ke chat udah gk bisa lagi slide ke samping.. Pdahal lebih mudah gitu,negatif
"Sering bug gjls,dan jg g bs msk ke wa ny",negatif
Gambar macet2 kalo pon g jelas suara sering ngilang tolong prbaiki biar pengguna bisa nyaman dengan apk inih🙏🙏,negatif
Jelek banget rating buat sekarang masa video yang ukuran nya cuman 3mb di kompres lagi jadi 1 MB gimana sih biasanya juga minimal 8 mb,negatif
Kenapa whatsapp koq sering kadaluwarsa,negatif
"Makin ga jelas, setiap saya mau login wa saya ada peringatan harus memakai whatsapp resmi, pdhal saya memakai whatsapp resmi.",negatif
Nyobak dulu,negatif
Tidak perlu kata kata,negatif
Lbih ribet,negatif
Bagus,negatif
Kurang baik kadang lemot,negatif
Diam-diam bikin penuh memori udah jangan cadangkan pesan tetep aja cadangkan,negatif
Mantap,negatif
"maaf yah ini kenapa saya mau login tetep ga bisa, katanya harus wa official padahal aku download ya ini. wa mana lagi coba? trus nunggu kode verifikasi jg minimal 2 jam kalo SMS 6 jam, katanya ada masalah sama play store pdhl jg udh update semua gimana ya tolong nih gabisa login dari kemarin",negatif
Tue,negatif
Jelek banget rating buat sekarang masa video yang ukuran nya cuman 3mb di kompres lagi jadi 1 MB gimana sih biasanya juga minimal 8 mb,negatif
"Tolong benerin bugnya dong, masa kontak cewek saya gak ada pp sama ceklis gak ada infonya juga. Sama ituu dia sibuk dari tahun 1970an masa,yang bener azaa",negatif
Kenapa nada dering tidak bisa diganti lagu mp3,negatif
Kenapa haruss ada kaldaluarsanya,negatif
"Kenapa whatsapp yg versi sekarang harus simpen foto manual? galeri atau foto² saya yang dari chat whatsapp itu hilang semua, saya kira cuma saya yg seperti ini, pas liat ulasan apl Wa di playstore ternyata banyak yg ngalamin fitur nya bikin PR.",negatif
"Jadi makin buruk, sering putus saat telfon, banyak errornya. Hp mahal juga sama aja",negatif
Enakan kaya dulu WhatsApp nya sekarang jadi ribet males,negatif
Ahhhaii,negatif
Nyobak dulu,negatif
Sinyal nya padahal full kuota nya full tapi knp setiap aku kirim video macet!!!! Dh lh jangan ke banyakan update gini nih jadi nya pasti banyak kesalahan:((((,negatif
Setelah d upgrade malah GK bisa kirim foto dan video .. Tolong d perbaiki LG dong ...,negatif
Kenapa sih susah banget download WhatsApp messenger,negatif
"Sangat busuk, aplikasi sampah",negatif
TOLONG BAGI PIHAK WA TOLONG PERBAIKI SAYA PAS BUAT SW SW SAYA TAMPAK BURAM TOLONG PERBAIKI,negatif
Baguss kok,negatif
Klw mau pos status gagal trus,negatif
ok Ok,negatif
tolol,negatif
"lebih suka model yang lama,dripada yang sekarang lebih ribett",negatif
"WhatsApp skrng jadi jelek ,,",negatif
Buat wa versi tanpa internet,negatif
"Tolong hapus fitur reaksi,karena saya benci ketika saya chat cuman direspon reaksi",negatif
Sekarang whasaap byk bedanya,negatif
"lebih suka model yang lama,dripada yang sekarang lebih ribett",negatif
Ebeww,negatif
Terlalu sering ada bug. Dimana ketika video call terjeda. Maka otomatis mati video call nya,negatif
Knp sih update trz skrg,negatif
Enakan kaya dulu WhatsApp nya sekarang jadi ribet males,negatif
Bagus,negatif
"ni WhatsApp kenapa ya? makin sini malah aneh, setiap lagi call masa sering banget reconnecting? padahal sinyal selalu ada dan selalu bagus?! ppq",negatif
Aplikasinya tambah nyusahin masa nomer keluar terus dari aplikasi pas mau masuk gk bisa,negatif
Kenapa wa memblokir nomor sy...,negatif
Maaf saya kasih rating 1 karna pas saya masukin no nya gak bisa padahal itu no nya udah bnr itu no nya malah gak bisa bisa udah coba beberapa kali tetep gak bisa,negatif
Parah ga jelas aflikasi ini dulu baik baik aja makin kesini makin ga jelas,negatif
"maaf yah ini kenapa saya mau login tetep ga bisa, katanya harus wa official padahal aku download ya ini. wa mana lagi coba? trus nunggu kode verifikasi jg minimal 2 jam kalo SMS 6 jam, katanya ada masalah sama play store pdhl jg udh update semua gimana ya tolong nih gabisa login dari kemarin",negatif
Sinyal nya padahal full kuota nya full tapi knp setiap aku kirim video macet!!!! Dh lh jangan ke banyakan update gini nih jadi nya pasti banyak kesalahan:((((,negatif
"lebih suka model yang lama,dripada yang sekarang lebih ribett",negatif
Tidak perlu kata kata,negatif
Wa semakin ribet dan kalo pindah ke status atau ke chat udah gk bisa lagi slide ke samping.. Pdahal lebih mudah gitu,negatif
Sekian lama pakai wa...kok di blokir ...aneh,negatif
Apk gk guna,negatif
"Setelah update UI nya malah tidak menarik dak ribet. Lebih bagus dan enak UI yang lama. Ini mirip-mirip WA di IOS, tapi kurang enak.",negatif
Makin buruk aplikasi ini!,negatif
Kecewa dgn cra kerjanya..miskin stiker..mles apdetnya..,negatif
Mantaaap,negatif
Kerja bagus,negatif
"kenapa setiap video call gambarnya ngelag, padahal sinyal bagus",negatif
Tidak bisa mengirim lagu,negatif
Aplikasi kon apa gak terima sin by one dek,negatif
TOLONG BAGI PIHAK WA TOLONG PERBAIKI SAYA PAS BUAT SW SW SAYA TAMPAK BURAM TOLONG PERBAIKI,negatif
Saya kecewa dengan WhatsApp saya sudah 1 Minggu gak dapet kode verifikasi,negatif
Kenapa kode verifikasi tidak muncul harus menunggu 24 jam tolong bantuan nya,negatif
Sekian lama pakai wa...kok di blokir ...aneh,negatif
"Dari sekian banyak komen yg ku baca,jd gw punya kesimpulan untuk tidak mengupdate",negatif
☺🙏🏻,negatif
Sekarang wa nggak ada privasinya lebih dijaga dong harusnya,negatif
Ahhhaii,negatif
Gabut,negatif
Baguss kok,negatif
"ga suka anis di update, lebih suka yg dulu",negatif
Bagus,negatif
